filepaths,labels
data\三宝鸟\1.jpg,三宝鸟
data\三宝鸟\10.jpg,三宝鸟
data\三宝鸟\100.jpg,三宝鸟
data\三宝鸟\101.jpg,三宝鸟
data\三宝鸟\102.jpg,三宝鸟
data\三宝鸟\103.jpg,三宝鸟
data\三宝鸟\104.jpg,三宝鸟
data\三宝鸟\105.jpg,三宝鸟
data\三宝鸟\106.jpg,三宝鸟
data\三宝鸟\107.jpg,三宝鸟
data\三宝鸟\108.jpg,三宝鸟
data\三宝鸟\109.jpg,三宝鸟
data\三宝鸟\11.jpg,三宝鸟
data\三宝鸟\110.jpg,三宝鸟
data\三宝鸟\111.jpg,三宝鸟
data\三宝鸟\112.jpg,三宝鸟
data\三宝鸟\113.jpg,三宝鸟
data\三宝鸟\114.jpg,三宝鸟
data\三宝鸟\115.jpg,三宝鸟
data\三宝鸟\116.jpg,三宝鸟
data\三宝鸟\117.jpg,三宝鸟
data\三宝鸟\118.jpg,三宝鸟
data\三宝鸟\119.jpg,三宝鸟
data\三宝鸟\12.jpg,三宝鸟
data\三宝鸟\120.jpg,三宝鸟
data\三宝鸟\121.jpg,三宝鸟
data\三宝鸟\122.jpg,三宝鸟
data\三宝鸟\123.jpg,三宝鸟
data\三宝鸟\124.jpg,三宝鸟
data\三宝鸟\125.jpg,三宝鸟
data\三宝鸟\126.jpg,三宝鸟
data\三宝鸟\127.jpg,三宝鸟
data\三宝鸟\128.jpg,三宝鸟
data\三宝鸟\129.jpg,三宝鸟
data\三宝鸟\13.jpg,三宝鸟
data\三宝鸟\130.jpg,三宝鸟
data\三宝鸟\131.jpg,三宝鸟
data\三宝鸟\132.jpg,三宝鸟
data\三宝鸟\133.jpg,三宝鸟
data\三宝鸟\134.jpg,三宝鸟
data\三宝鸟\135.jpg,三宝鸟
data\三宝鸟\136.jpg,三宝鸟
data\三宝鸟\137.jpg,三宝鸟
data\三宝鸟\138.jpg,三宝鸟
data\三宝鸟\139.jpg,三宝鸟
data\三宝鸟\14.jpg,三宝鸟
data\三宝鸟\140.jpg,三宝鸟
data\三宝鸟\141.jpg,三宝鸟
data\三宝鸟\142.jpg,三宝鸟
data\三宝鸟\143.jpg,三宝鸟
data\三宝鸟\144.jpg,三宝鸟
data\三宝鸟\145.jpg,三宝鸟
data\三宝鸟\146.jpg,三宝鸟
data\三宝鸟\147.jpg,三宝鸟
data\三宝鸟\148.jpg,三宝鸟
data\三宝鸟\149.jpg,三宝鸟
data\三宝鸟\15.jpg,三宝鸟
data\三宝鸟\150.jpg,三宝鸟
data\三宝鸟\151.jpg,三宝鸟
data\三宝鸟\152.jpg,三宝鸟
data\三宝鸟\153.jpg,三宝鸟
data\三宝鸟\154.jpg,三宝鸟
data\三宝鸟\155.jpg,三宝鸟
data\三宝鸟\156.jpg,三宝鸟
data\三宝鸟\157.jpg,三宝鸟
data\三宝鸟\158.jpg,三宝鸟
data\三宝鸟\159.jpg,三宝鸟
data\三宝鸟\16.jpg,三宝鸟
data\三宝鸟\160.jpg,三宝鸟
data\三宝鸟\161.jpg,三宝鸟
data\三宝鸟\162.jpg,三宝鸟
data\三宝鸟\163.jpg,三宝鸟
data\三宝鸟\164.jpg,三宝鸟
data\三宝鸟\165.jpg,三宝鸟
data\三宝鸟\166.jpg,三宝鸟
data\三宝鸟\167.jpg,三宝鸟
data\三宝鸟\168.jpg,三宝鸟
data\三宝鸟\169.jpg,三宝鸟
data\三宝鸟\17.jpg,三宝鸟
data\三宝鸟\170.jpg,三宝鸟
data\三宝鸟\171.jpg,三宝鸟
data\三宝鸟\172.jpg,三宝鸟
data\三宝鸟\173.jpg,三宝鸟
data\三宝鸟\174.jpg,三宝鸟
data\三宝鸟\175.jpg,三宝鸟
data\三宝鸟\176.jpg,三宝鸟
data\三宝鸟\177.jpg,三宝鸟
data\三宝鸟\178.jpg,三宝鸟
data\三宝鸟\179.jpg,三宝鸟
data\三宝鸟\18.jpg,三宝鸟
data\三宝鸟\180.jpg,三宝鸟
data\三宝鸟\181.jpg,三宝鸟
data\三宝鸟\182.jpg,三宝鸟
data\三宝鸟\183.jpg,三宝鸟
data\三宝鸟\184.jpg,三宝鸟
data\三宝鸟\185.jpg,三宝鸟
data\三宝鸟\186.jpg,三宝鸟
data\三宝鸟\187.jpg,三宝鸟
data\三宝鸟\188.jpg,三宝鸟
data\三宝鸟\189.jpg,三宝鸟
data\三宝鸟\19.jpg,三宝鸟
data\三宝鸟\190.jpg,三宝鸟
data\三宝鸟\191.jpg,三宝鸟
data\三宝鸟\192.jpg,三宝鸟
data\三宝鸟\193.jpg,三宝鸟
data\三宝鸟\194.jpg,三宝鸟
data\三宝鸟\195.jpg,三宝鸟
data\三宝鸟\196.jpg,三宝鸟
data\三宝鸟\197.jpg,三宝鸟
